# 2023-02-16, 15:19:07.362032
# fs = 14 Hz, N = 30
# NI 9211, 19.5.0
t,ai0
0.000000000,0.006321583
0.071428571,-0.079999833
0.142857143,-0.006070290
0.214285714,0.080000157
0.285714286,0.006314259
0.357142857,-0.079999833
0.428571429,-0.006064091
0.500000000,0.080000157
0.571428571,0.006309586
0.642857143,-0.079999833
0.714285714,-0.006056042
0.785714286,0.080000157
0.857142857,0.006303120
0.928571429,-0.079999833
1.000000000,-0.006051312
1.071428571,0.080000157
1.142857143,0.006295796
1.214285714,-0.079999833
1.285714286,-0.006045914
1.357142857,0.080000157
1.428571429,0.006288643
1.500000000,-0.079999833
1.571428571,-0.006038838
1.642857143,0.080000157
1.714285714,0.006285401
1.785714286,-0.079999833
1.857142857,-0.006032067
1.928571429,0.080000157
2.000000000,0.006276589
2.071428571,-0.079999833
